unix,low,high,open,close,volume,date,vol_fiat
1629590400,42.57,44.5392,42.7163,44.2334,11068.233,2021-08-22,489585.57758220006
1629504000,42.0159,45.8685,42.8791,42.6952,53285.736,2021-08-21,2275045.1556671998
1629417600,40.7718,43.6937,40.9408,42.9176,56097.26,2021-08-20,2407559.765776
1629331200,37.7611,41.0398,38.508,40.9619,26533.239,2021-08-19,1086851.8825941
1629244800,38.0,40.2992,39.3148,38.5283,39865.978,2021-08-18,1535968.3601774
1629158400,39.0219,42.4386,40.66,39.3399,34418.37,2021-08-17,1354015.2339630001
1629072000,40.6574,43.7707,42.2606,40.7275,42494.962,2021-08-16,1730713.564855
1628985600,40.5807,42.2999,41.6927,42.2052,32606.196,2021-08-15,1376151.0234192
1628899200,40.2105,43.155,42.8976,41.6927,21585.68,2021-08-14,899965.280536
1628812800,39.41,43.2,39.5835,42.8837,29561.651,2021-08-13,1267712.9729887
1628726400,38.5825,42.9904,41.3671,39.6042,40441.048,2021-08-12,1601635.3532016
1628640000,39.5578,44.2,39.6479,41.4379,89636.81,2021-08-11,3714361.169099
1628553600,38.8054,40.9545,39.2608,39.6826,48731.817,2021-08-10,1933805.2012842002
1628467200,37.085,40.0,38.3026,39.2052,38416.874,2021-08-09,1506141.2285448
1628380800,37.9809,40.4197,39.599,38.2566,52675.199,2021-08-08,2015174.0180634
1628294400,38.7969,42.256,39.0133,39.6517,137293.742,2021-08-07,5443930.2696614
1628208000,37.9119,39.5,39.1329,39.0263,39834.613,2021-08-06,1554597.5573218998
1628121600,37.5283,39.6438,38.8732,39.1962,41120.078,2021-08-05,1611750.8013036
1628035200,37.2838,41.7421,37.7988,38.8646,110469.388,2021-08-04,4293348.5768648
1627948800,37.51,52.818,38.5811,37.8338,384591.184,2021-08-03,14550545.937219199
1627862400,36.86,38.9978,38.592,38.5319,34718.756,2021-08-02,1337779.6343164002
1627776000,38.0755,39.7809,38.4003,38.6173,45112.637,2021-08-01,1742128.2368201
1627689600,37.7393,40.6322,38.7658,38.3502,71642.749,2021-07-31,2747513.7526998
1627603200,36.0748,38.7658,38.1046,38.7136,35295.531,2021-07-30,1366417.0689216
1627516800,35.8,38.7865,36.7991,38.1155,56725.864,2021-07-29,2162134.669292
1627430400,35.0543,37.1223,37.1223,36.7719,46157.309,2021-07-28,1697291.9508171002
1627344000,33.5416,37.9999,33.8401,37.1601,88293.671,2021-07-27,3281001.6437271
1627257600,33.4896,37.6678,34.9847,33.8401,150800.877,2021-07-26,5103116.757767701
1627171200,32.6066,39.0636,32.8479,35.0082,219519.61,2021-07-25,7684986.410802
1627084800,31.789,33.3317,32.3688,32.8479,39084.753,2021-07-24,1283852.0580687
1626998400,30.61,32.3587,31.1834,32.3587,25620.294,2021-07-23,829039.4074578
1626912000,30.5641,31.4708,30.96,31.2244,29669.85,2021-07-22,926423.2643399999
1626825600,29.0363,33.0,29.7628,30.97,52426.314,2021-07-21,1623642.94458
1626739200,26.9965,31.9223,28.6481,29.7682,105331.215,2021-07-20,3135520.674363
1626652800,28.4687,30.6183,30.4699,28.6215,22819.934,2021-07-19,653140.740981
1626566400,30.3116,31.9995,30.5759,30.5323,22882.853,2021-07-18,698666.1326518999
1626480000,30.06,33.0088,33.0088,30.5667,54887.726,2021-07-17,1677736.6543242
1626393600,29.6775,33.9115,30.3179,33.0185,72996.722,2021-07-16,2410242.265357
1626307200,29.9,31.8945,31.4305,30.3179,51152.767,2021-07-15,1550844.4746293002
1626220800,28.8405,31.9876,31.6328,31.407,73099.998,2021-07-14,2295851.637186
1626134400,30.9758,36.7202,31.1657,31.5931,270747.036,2021-07-13,8553738.183051601
1626048000,29.4785,32.1367,31.4259,31.1657,57464.113,2021-07-12,1790909.3065241
1625961600,31.028,32.4627,31.3126,31.477,65597.672,2021-07-11,2064817.9215440003
1625875200,30.7268,32.8914,32.0746,31.3154,38609.4,2021-07-10,1209068.80476
1625788800,29.9985,34.6994,30.3424,32.076,92720.006,2021-07-09,2974086.9124559998
1625702400,29.98,33.1564,33.023,30.29,50406.436,2021-07-08,1526810.94644
1625616000,32.71,34.4125,32.9099,33.023,74312.834,2021-07-07,2454032.717182
1625529600,32.4698,35.0,33.4529,32.91,68101.153,2021-07-06,2241208.94523
1625443200,31.2037,35.5,32.1947,33.4744,129118.187,2021-07-05,4322153.838912801
1625356800,31.2028,33.9553,31.8981,32.22,67422.957,2021-07-04,2172367.6745399996
1625270400,31.0704,33.1502,31.7216,31.8872,53724.565,2021-07-03,1713125.949068
1625184000,30.5773,33.4755,33.0672,31.6975,57244.43,2021-07-02,1814505.3199250002
1625097600,31.9326,37.857,36.1423,33.01,162253.507,2021-07-01,5355988.26607
1625011200,27.9,43.4285,29.3071,36.0999,433533.849,2021-06-30,15650528.595515098
1624924800,28.6201,30.9939,29.2152,29.2534,43039.51,2021-06-29,1259052.001834
1624838400,27.62,29.9732,28.4842,29.1864,54804.656,2021-06-28,1599550.6118784
1624752000,26.7004,28.8625,27.1516,28.5403,31083.747,2021-06-27,887139.4645040999
1624665600,25.5612,28.188,26.7207,27.1027,50580.528,2021-06-26,1370868.8762255998
1624579200,26.6364,29.5,28.627,26.7733,32813.296,2021-06-25,878520.2177968001
1624492800,27.3799,29.5,28.6761,28.6,28310.815,2021-06-24,809689.309
1624406400,26.6561,31.1508,27.3871,28.6646,65473.636,2021-06-23,1876775.5864855999
1624320000,24.0,33.3668,30.2229,27.4521,102706.415,2021-06-22,2819506.7752215
1624233600,30.08,36.6684,36.6,30.1701,40409.258,2021-06-21,1219151.3547858002
1624147200,35.0491,37.3533,36.5609,36.5508,18645.095,2021-06-20,681493.1383260001
1624060800,36.39,38.8908,38.6768,36.613,42477.386,2021-06-19,1555224.5336179999
1623974400,38.0044,40.7198,38.6479,38.6571,59869.279,2021-06-18,2314372.7052309
1623888000,38.2888,42.2586,38.4075,38.7123,43325.39,2021-06-17,1677225.495297
1623801600,38.0228,42.211,40.7089,38.3323,39800.905,2021-06-16,1525660.2307314998
1623715200,40.2771,43.1177,40.7339,40.737,36486.813,2021-06-15,1486363.3011810002
1623628800,38.99,41.5714,39.5522,40.6699,46448.579,2021-06-14,1889059.0630720998
1623542400,36.6591,40.0,38.3376,39.5513,48088.195,2021-06-13,1901950.6269035
1623456000,36.21,39.96,38.8743,38.339,64477.499,2021-06-12,2472002.834161
1623369600,38.5927,42.7629,41.0218,38.9708,60123.674,2021-06-11,2343067.6747192
